1.000: (Silas; set NCAA record for; rebounds in three seasons)
1.000: (most rebounds; is in; three seasons)
1.000: (Silas; averaged; 20.6 rebounds per game)
1.000: (Silas; set NCAA record for; most rebounds in three seasons)
1.000: (Silas; attended; Creighton University)
1.000: (Silas; averaged; 20.6 rebounds)
1.000: (Silas; collected; 10,000 rebounds)
1.000: (Seattle SuperSonics; is in; 1979)
1.000: (Silas; won; three championship rings)
1.000: (Silas; played in; two All-Star games)
1.000: (Silas; was; assistant coach for New Jersey Nets for one season from 1988-89)
1.000: (Silas; was; coach)
1.000: (Silas; was; to All-NBA Defensive Second Team assistant coach for New Jersey Nets)
1.000: (Silas; was; assistant coach)
1.000: (Silas; was; to All-NBA Defensive Second Team assistant coach for one season)
1.000: (Silas; was; to All-NBA Defensive Second Team coach for one season from 1988-89)
1.000: (Silas; was assistant coach to; All-NBA Defensive Second Team)
1.000: (Silas; was; to All-NBA Defensive Second Team assistant coach for New Jersey Nets for one season)
1.000: (Silas; was assistant coach for; New Jersey Nets)
1.000: (Silas; was; to All-NBA Defensive Second Team coach for New Jersey Nets for one season from 1988-89)
1.000: (Silas; was; coach for New Jersey Nets for one season)
1.000: (Silas; was coach for; New Jersey Nets)
1.000: (Silas; was; to All-NBA Defensive Second Team assistant coach for one season from 1988-89)
0.508: (All-NBA Defensive Second Team; compiling; 78-168 record for team)
1.000: (Silas; became from; 1989-92)
1.000: (Silas; was named to; All-NBA Defensive First Team)
0.508: (All-NBA Defensive Second Team; compiling; 78-168 record)
1.000: (Silas; was; to All-NBA Defensive Second Team coach for New Jersey Nets for one season)
1.000: (Silas; was; assistant)
1.000: (Silas; was named twice to; All-NBA Defensive First Team)
1.000: (Silas; was coach for; one season from 1988-89)
1.000: (assistant coach; is with; New York Knicks)
1.000: (Silas; was; to All-NBA Defensive Second Team coach for New Jersey Nets)
1.000: (Silas; was assistant coach for; one season)
1.000: (Silas; was; to All-NBA Defensive Second Team assistant coach for New Jersey Nets for one season from 1988-89)
1.000: (Silas; was; named)
1.000: (Silas; was; coach for New Jersey Nets for one season from 1988-89)
1.000: (Silas; was assistant coach for; one season from 1988-89)
1.000: (Silas; was coach to; All-NBA Defensive Second Team)
1.000: (Silas; was; named twice)
1.000: (Silas; was coach for; one season)
1.000: (Silas; was; assistant coach for New Jersey Nets for one season)
1.000: (Silas; was; to All-NBA Defensive Second Team coach for one season)
1.000: (head coaching job; is in; Summer of 1995)
1.000: (tiebreak; is with; New Jersey Nets.Silas)
1.000: (Silas; feuded with; veteran point guard Eric Snow)
1.000: (Silas; feuded with; point guard Eric Snow)
1.000: (coaching Charlotte Bobcats; be; dream job)
1.000: (Silas; interviewed for; head coaching position)
1.000: (season; worked for; ESPN)
1.000: (Silas; interviewed for; head coaching position with Charlotte Bobcats)
1.000: (Silas; interviewed for; vacant head coaching position with Charlotte Bobcats)
1.000: (Hired; was; rife)
1.000: (vacant head coaching position; is with; Charlotte Bobcats)
1.000: (Silas; interviewed for; vacant head coaching position)
1.000: (firing; is in; April 2008)
1.000: (Silas tenure; is with; Bobcats)
1.000: (interim head coach; replacing; coach Larry Brown.On February 16 2011)
1.000: (Silas; coached; Charlotte Hornets)
1.000: (Bobcats; removed at_time; his status.On April 30 2012)
1.000: (Silas; coached Charlotte Hornets for; about six seasons with record)
1.000: (head coach; replacing; coach Larry Brown.On February 16 2011)
1.000: (head coach; replacing; outgoing coach Larry Brown.On February 16 2011)
1.000: (Silas second tenure; is with; Charlotte Hornets)
1.000: (six seasons; is with; record of 204)
1.000: (Silas; coached Charlotte Hornets for; about six seasons)
1.000: (Bobcats; removed at_time; his interim status.On April 30 2012)
1.000: (interim head coach; replacing; outgoing coach Larry Brown.On February 16 2011)
1.000: (outgoing coach Larry Brown.On February 16 2011; tenure with; Bobcats)
1.000: (Julie; was mother with; four children)
